section,key,value
summary,records,2034
summary,accuracy,0.7188
summary,macro_f1,0.7262
true_count,negative,1402
true_count,neutral,0
true_count,positive,632
pred_count,negative,1110
pred_count,neutral,136
pred_count,positive,788
confusion,true=negative|pred=negative,991
confusion,true=negative|pred=neutral,94
confusion,true=negative|pred=positive,317
confusion,true=neutral|pred=negative,0
confusion,true=neutral|pred=neutral,0
confusion,true=neutral|pred=positive,0
confusion,true=positive|pred=negative,119
confusion,true=positive|pred=neutral,42
confusion,true=positive|pred=positive,471
